id,motivating_factors,personal_traits,techical_know_how,social_characteristics
180,0.93,0.95,0.25,0.99
181,0.27,0.59,0.98,0.29
182,0.47,0.13,0.01,0
183,0.32,0.55,0.22,0.95
184,0.97,0.09,0.19,0.6
185,0.28,0.54,0.84,0.82
186,0.24,0.07,0.99,0.07
187,0.2,0.63,0.41,0.86
188,0.56,0.61,0.72,0.94
189,0.22,0.69,0.83,0
190,0.29,0.34,0.72,0.54
191,0.1,0.87,0.29,0.69
192,0.66,0.51,0.18,0.08
193,0.12,0.95,0.31,0.49
194,0.54,1,0.93,0.05
195,0.51,1,0.26,0.02
196,0.24,0.13,0.21,0.24
197,0.91,0.32,0.42,0.18
198,0.21,0.5,0.57,0.52
199,0.2,0.49,0.58,0.24
200,0.02,0.08,0.37,0.49
201,0.31,0.82,0.43,0.43
202,0.11,0.4,0.37,0.62
203,0.54,0.8,0.98,0.32
204,0.94,0.75,0.64,0.32
205,0.67,0.33,0.45,0.27
206,0.93,0.49,0.15,0.46
207,0.55,0.39,0.83,0.24
208,0.51,0.68,0.73,0.54
209,0.98,0.34,0.29,0.52
210,0.78,0.32,0.98,0.13
211,0.68,0.28,0.32,0.14
212,0.75,0.11,0.18,0.16
213,0.22,0.51,0.34,0.34
214,0.53,0.53,0.55,0.55
215,0.27,0.91,0.24,0.71
216,0.05,0.95,0.95,0.52
217,0.86,0.31,0.51,0.59
218,0.78,0.53,0.97,0.65
219,0.06,0.32,0.3,0.44
220,0.95,0.13,0.98,0.72
221,0.4,0.34,0.04,0
222,0.42,0.3,0.89,0.84
223,0.12,0.38,0.04,0.58
224,0.11,0.73,0.74,0.27
225,0.77,0.48,0.67,0.24
226,0.99,0.6,0.79,0.5
227,0.71,0.25,0.55,0.26
228,0.16,0.51,0.12,0.66
229,0.23,0.27,0.59,0.72
230,0.17,0.87,0.84,0.65
231,0.77,0.15,0.3,0.54
232,0.4,0.54,0.33,0.69
233,0.18,0.68,0.98,0.18
234,0.26,0.96,0.47,0.04
235,0.62,0.65,0.51,0.33
236,0.07,0.49,0.46,0.16
237,0.82,0.59,0.65,0.34
238,0.36,0.96,0.11,0.78
239,0.82,0.46,0.21,0.3
240,0.08,0.94,0.57,0.49
241,0.01,0.15,0.33,0.51
242,0.63,0.82,0.69,0.4
243,0.85,0.11,0.72,0.08
244,0.05,0.68,0.02,0.71
245,0.91,0.7,0.87,0.72
246,0.48,0.32,0.41,0.56
247,0.86,0.65,0.14,0.38
248,0.22,0.8,0.44,0.07
249,0.38,0.17,0.67,0.75
250,0.14,0.64,0.73,0.02
